Code,_StartTime,_EndTime,StartTime,EndTime,Type,Change
AB31,Oct 2007,Dec 2018,"£267,500","£294,500",All,+10%
AB31,Oct 2007,Dec 2018,"£250,000","£170,000",2 Bedrooms,-32%
AB31,Oct 2007,Dec 2018,"£695,000","£490,000",5+ Bedrooms,-29%
AB31,Oct 2007,Dec 2018,"£330,000","£355,000",4 Bedrooms,+8%
AB32,Oct 2007,Dec 2018,"£190,000","£232,500",3 Bedrooms,+22%
AB32,Oct 2007,Dec 2018,-,"£117,500",1 Bedroom,-
AB32,Oct 2007,Dec 2018,"£170,000","£215,000",All,+26%
AB32,Oct 2007,Dec 2018,"£149,000","£171,000",2 Bedrooms,+15%
AB32,Oct 2007,Dec 2018,-,"£442,500",5+ Bedrooms,-
AB32,Oct 2007,Dec 2018,"£195,000","£325,000",4 Bedrooms,+67%
AB33,Oct 2007,Dec 2018,"£230,000","£194,000",3 Bedrooms,-16%
AB33,Oct 2007,Dec 2018,-,-,1 Bedroom,-
AB33,Oct 2007,Dec 2018,"£250,000","£275,000",All,+10%
